tag	precision	recall	f1	support	model
Silent number/directory listing	1	1	1	5	lightgbm_tfidf_fasttext_sentence_transformers
Statute barred debt/bankrupt	1	1	1	1	lightgbm_tfidf_fasttext_sentence_transformers
Technician	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Termination	1	1	1	8	lightgbm_tfidf_fasttext_sentence_transformers
Unauthorised disclosure	1	1	1	7	lightgbm_tfidf_fasttext_sentence_transformers
Cannot access account or data - technical	1	1	1	13	lightgbm_tfidf_fasttext_sentence_transformers
Changing provider	1	1	1	11	lightgbm_tfidf_fasttext_sentence_transformers
Cooling off	1	1	1	2	lightgbm_tfidf_fasttext_sentence_transformers
Debtor harassment	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Directory listing - business	1	1	1	3	lightgbm_tfidf_fasttext_sentence_transformers
Disability equipment	1	1	1	2	lightgbm_tfidf_fasttext_sentence_transformers
Enhanced/add-on feature	1	1	1	24	lightgbm_tfidf_fasttext_sentence_transformers
Equipment finance agreement	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Excess call/sms/mms	1	1	1	5	lightgbm_tfidf_fasttext_sentence_transformers
Refusal to deal with representative	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Resolution agreed but not met	1	1	1	20	lightgbm_tfidf_fasttext_sentence_transformers
Roaming	1	1	1	7	lightgbm_tfidf_fasttext_sentence_transformers
Service and equipment	1	1	1	42	lightgbm_tfidf_fasttext_sentence_transformers
Excess data	1	1	1	3	lightgbm_tfidf_fasttext_sentence_transformers
Failure to cancel	1	1	1	18	lightgbm_tfidf_fasttext_sentence_transformers
Fee for bill	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Hazardous, non-compliant or temporary infrastructure	1	1	1	24	lightgbm_tfidf_fasttext_sentence_transformers
Payment extension	1	1	1	7	lightgbm_tfidf_fasttext_sentence_transformers
Priority assistance	1	1	1	5	lightgbm_tfidf_fasttext_sentence_transformers
No or delayed action	1	1	1	98	lightgbm_tfidf_fasttext_sentence_transformers
No service	1	1	1	22	lightgbm_tfidf_fasttext_sentence_transformers
Noise/interference	1	1	1	1	lightgbm_tfidf_fasttext_sentence_transformers
Non-financial loss - not privacy	1	1	1	20	lightgbm_tfidf_fasttext_sentence_transformers
Not liable for debt	1	1	1	6	lightgbm_tfidf_fasttext_sentence_transformers
Inadequate credit assessment	1	1	1	8	lightgbm_tfidf_fasttext_sentence_transformers
Inadequate fault testing	1	1	1	12	lightgbm_tfidf_fasttext_sentence_transformers
Intermittent/drop outs	1	1	1	9	lightgbm_tfidf_fasttext_sentence_transformers
Location of equipment	1	1	1	23	lightgbm_tfidf_fasttext_sentence_transformers
Loyalty programs	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
Mishandling of business information	1	1	1	1	lightgbm_tfidf_fasttext_sentence_transformers
Misleading conduct	1	1	1	13	lightgbm_tfidf_fasttext_sentence_transformers
Missed appointment	1	1	1	6	lightgbm_tfidf_fasttext_sentence_transformers
Network outage	1	1	1	9	lightgbm_tfidf_fasttext_sentence_transformers
Unauthorised transfer	1	1	1	8	lightgbm_tfidf_fasttext_sentence_transformers
Unconscionable conduct	1	1	1	5	lightgbm_tfidf_fasttext_sentence_transformers
3rd party	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
